arm,person_id,field,H_bits,lower,upper,nonmonotone
control,Kimberly Davis,ssn,74.87416076660156,8.0,12.0,False
control,Mariah Patterson,email,65.006591796875,4.0,6.0,False
control,Mariah Patterson,ssn,77.01941680908203,6.0,8.0,False
control,Melissa Price,email,76.30587005615234,4.0,6.0,False
control,Melissa Price,ssn,72.69569396972656,8.0,12.0,False
control,Ray Perez,email,80.7545166015625,8.0,12.0,False
control,Ray Perez,ssn,72.44355773925781,12.0,16.0,False
control,Renee Williams,email,73.8359146118164,6.0,8.0,False
control,Renee Williams,ssn,69.3212661743164,8.0,12.0,False
control,Robert Williams,email,56.268043518066406,4.0,6.0,False
control,Robert Williams,ssn,78.09163665771484,6.0,8.0,True
control,Sharon Blankenship,email,69.5932846069336,4.0,6.0,False
control,Sharon Blankenship,ssn,71.64109802246094,16.0,20.0,False
control,Sheena Williams,email,67.43203735351562,4.0,6.0,False
control,Sheena Williams,ssn,79.0307846069336,8.0,12.0,True
control,Stephen Kemp,email,64.47142791748047,4.0,6.0,False
control,Stephen Kemp,ssn,74.07411193847656,6.0,8.0,False
control,Timothy Bruce,email,66.87584686279297,4.0,6.0,False
control,Timothy Bruce,ssn,70.12203979492188,12.0,16.0,False
trained,Alexis Baker,email,80.15894317626953,6.0,8.0,False
trained,Alexis Baker,ssn,73.33283233642578,8.0,12.0,False
trained,Allison Hill,email,83.10099029541016,6.0,8.0,False
trained,Allison Hill,ssn,71.15333557128906,6.0,8.0,False
trained,Antonio Norman,email,62.55542755126953,4.0,6.0,False
trained,Antonio Norman,ssn,72.436767578125,6.0,8.0,False
trained,Brandon Moore,email,93.85677337646484,6.0,8.0,False
trained,Brandon Moore,ssn,74.7021255493164,48.0,64.0,False
trained,Courtney Hall,email,63.65266418457031,4.0,6.0,False
trained,Courtney Hall,ssn,72.79356384277344,6.0,8.0,False
trained,Deanna Smith,email,85.50352478027344,6.0,8.0,False
trained,Deanna Smith,ssn,71.17362213134766,8.0,12.0,False
trained,Donna Frye,email,59.79683303833008,3.0,4.0,False
trained,Donna Frye,ssn,72.38127899169922,12.0,16.0,False
trained,Emily Hayes,email,88.79307556152344,6.0,8.0,False
trained,Emily Hayes,ssn,79.53348541259766,12.0,16.0,True
trained,Gina Mack,email,78.24922943115234,6.0,8.0,False
trained,Gina Mack,ssn,73.75379180908203,4.0,6.0,False
trained,Jason Newton,email,72.70268249511719,4.0,6.0,False
trained,Jason Newton,ssn,71.0537338256836,8.0,12.0,False
trained,Jason Powell,email,71.25579833984375,4.0,6.0,False
trained,Jason Powell,ssn,67.62132263183594,6.0,8.0,False
trained,Krystal Diaz,email,76.50662994384766,6.0,8.0,False
trained,Krystal Diaz,ssn,72.21485137939453,12.0,16.0,False
trained,Laura Diaz,email,70.87628173828125,3.0,4.0,False
trained,Laura Diaz,ssn,74.5811996459961,8.0,12.0,True
trained,Laura Wilson,email,57.292625427246094,3.0,4.0,False
trained,Laura Wilson,ssn,75.6661605834961,8.0,12.0,False
trained,Leonard Gray,email,61.671592712402344,4.0,6.0,False
trained,Leonard Gray,ssn,79.86560821533203,16.0,20.0,False
trained,Michelle Fletcher,email,63.118595123291016,6.0,8.0,False
trained,Michelle Fletcher,ssn,73.08893585205078,8.0,12.0,False
trained,Misty Garcia,email,57.15336227416992,4.0,6.0,False
trained,Misty Garcia,ssn,73.58297729492188,6.0,8.0,True
trained,Monica Baker,email,73.90625762939453,4.0,6.0,False
trained,Monica Baker,ssn,73.87828826904297,8.0,12.0,False
trained,Ms. Jennifer Hill,email,56.34782791137695,3.0,4.0,False
trained,Ms. Jennifer Hill,ssn,73.64346313476562,6.0,8.0,True
trained,Paul Johnson,email,78.3939208984375,4.0,6.0,False
trained,Paul Johnson,ssn,72.30915832519531,8.0,12.0,False
trained,Robert Chase,email,78.97562408447266,6.0,8.0,False
trained,Robert Chase,ssn,71.2191162109375,8.0,12.0,False
trained,Ryan Harvey,email,65.31535339355469,4.0,6.0,False
trained,Ryan Harvey,ssn,73.16681671142578,8.0,12.0,False
trained,Tricia Mullins DDS,email,62.86015319824219,4.0,6.0,False
trained,Tricia Mullins DDS,ssn,78.94608306884766,6.0,8.0,True
trained,Virginia Spencer,email,71.41950988769531,6.0,8.0,False
trained,Virginia Spencer,ssn,74.65836334228516,6.0,8.0,False
trained,Willie Durham,email,66.2494888305664,6.0,8.0,False
trained,Willie Durham,ssn,74.43388366699219,16.0,20.0,True
